input_prompt,enhanced_prompt
a samurai in mountain temple,"(samurai:1.25) in mountain temple, Photoreal style, 8k resolution, dramatic shadows, soft bokeh, unreal engine 5, hyper detailed"
a queen in medieval village,"(queen:1.25) in medieval village, Cyberpunk style, muted tones, unreal engine 5, soft bokeh, sharp focus, masterpiece quality"
a goddess in stellar nebula,"(goddess:1.25) in stellar nebula, Photoreal style, muted tones, sharp focus, hyper detailed"
a old man in volcano,"(old man:1.25) in volcano, Cyberpunk style, intricate textures, ray traced, muted tones, soft bokeh, masterpiece quality"
a forest spirit in mountain temple,"(forest spirit:1.25) in mountain temple, Renaissance style, unreal engine 5, muted tones, soft bokeh, majestic scale"
a monk in mars base,"(monk:1.25) in mars base, Vaporwave style, vibrant colors, masterpiece quality, unreal engine 5"
a cat in medieval village,"(cat:1.25) in medieval village, Minimalist style, muted tones, octane render, ethereal atmosphere, soft bokeh"
a queen in desert oasis,"(queen:1.25) in desert oasis, Impressionist style, masterpiece quality, volumetric lighting, sharp focus"
a warrior in medieval village,"(warrior:1.25) in medieval village, Photoreal style, sharp focus, ethereal atmosphere, 8k resolution, volumetric lighting, majestic scale"
a forest spirit in space station,"(forest spirit:1.25) in space station, Anime style, masterpiece quality, ethereal atmosphere, unreal engine 5, ray traced, 8k resolution"
a monk in ancient ruins,"(monk:1.25) in ancient ruins, Impressionist style, dramatic shadows, majestic scale, vibrant colors, volumetric lighting"
a robot in mars base,"(robot:1.25) in mars base, Dark Fantasy style, majestic scale, ethereal atmosphere, unreal engine 5, sharp focus, intricate textures"
a queen in cybernetic lab,"(queen:1.25) in cybernetic lab, Impressionist style, muted tones, sharp focus, ethereal atmosphere"
a mechanic in frozen tundra,"(mechanic:1.25) in frozen tundra, Cyberpunk style, sharp focus, majestic scale, 8k resolution, vibrant colors, ray traced"
a wizard in mars base,"(wizard:1.25) in mars base, Dark Fantasy style, octane render, soft bokeh, masterpiece quality, intricate textures"
a demon in desert oasis,"(demon:1.25) in desert oasis, Renaissance style, ethereal atmosphere, majestic scale, 8k resolution"
a samurai in dreamscape,"(samurai:1.25) in dreamscape, Minimalist style, octane render, sharp focus, volumetric lighting"
a old man in volcano,"(old man:1.25) in volcano, Anime style, intricate textures, dramatic shadows, muted tones, vibrant colors"
a cyberpunk girl in dreamscape,"(cyberpunk girl:1.25) in dreamscape, Photoreal style, ethereal atmosphere, unreal engine 5, volumetric lighting, dramatic shadows"
a astronaut in desert oasis,"(astronaut:1.25) in desert oasis, Cyberpunk style, dramatic shadows, hyper detailed, octane render"
a explorer in mountain temple,"(explorer:1.25) in mountain temple, Cinematic style, muted tones, dramatic shadows, hyper detailed, ethereal atmosphere"
a dragon in desert oasis,"(dragon:1.25) in desert oasis, Renaissance style, ray traced, intricate textures, 8k resolution, sharp focus"
a mechanic in ancient ruins,"(mechanic:1.25) in ancient ruins, Anime style, vibrant colors, intricate textures, soft bokeh"
a demon in cybernetic lab,"(demon:1.25) in cybernetic lab, Cinematic style, ray traced, hyper detailed, 8k resolution, soft bokeh"
a robot in mars base,"(robot:1.25) in mars base, Renaissance style, 8k resolution, sharp focus, dramatic shadows"
a warrior in medieval village,"(warrior:1.25) in medieval village, Photoreal style, intricate textures, 8k resolution, soft bokeh"
a forest spirit in cybernetic lab,"(forest spirit:1.25) in cybernetic lab, Impressionist style, 8k resolution, sharp focus, intricate textures, majestic scale"
a warrior in cybernetic lab,"(warrior:1.25) in cybernetic lab, Cinematic style, vibrant colors, unreal engine 5, hyper detailed, ethereal atmosphere"
a robot in mountain temple,"(robot:1.25) in mountain temple, Steampunk style, muted tones, masterpiece quality, unreal engine 5, ethereal atmosphere, volumetric lighting"
a wizard in floating island,"(wizard:1.25) in floating island, Impressionist style, vibrant colors, volumetric lighting, dramatic shadows"
a demon in mountain temple,"(demon:1.25) in mountain temple, Vaporwave style, soft bokeh, ethereal atmosphere, muted tones"
a cat in space station,"(cat:1.25) in space station, Steampunk style, soft bokeh, octane render, ray traced, intricate textures"
a explorer in medieval village,"(explorer:1.25) in medieval village, Cyberpunk style, octane render, ray traced, majestic scale"
a nomad in frozen tundra,"(nomad:1.25) in frozen tundra, Photoreal style, sharp focus, masterpiece quality, ray traced, 8k resolution, soft bokeh"
a forest spirit in medieval village,"(forest spirit:1.25) in medieval village, Cyberpunk style, dramatic shadows, soft bokeh, muted tones"
a nomad in mars base,"(nomad:1.25) in mars base, Dark Fantasy style, hyper detailed, sharp focus, soft bokeh, muted tones"
a samurai in ancient ruins,"(samurai:1.25) in ancient ruins, Impressionist style, hyper detailed, vibrant colors, majestic scale"
a old man in ancient ruins,"(old man:1.25) in ancient ruins, Vaporwave style, dramatic shadows, sharp focus, unreal engine 5, ray traced, intricate textures"
a forest spirit in volcano,"(forest spirit:1.25) in volcano, Cinematic style, intricate textures, vibrant colors, dramatic shadows, majestic scale"
a monk in mountain temple,"(monk:1.25) in mountain temple, Impressionist style, hyper detailed, masterpiece quality, sharp focus"
a nomad in mountain temple,"(nomad:1.25) in mountain temple, Anime style, muted tones, ray traced, masterpiece quality"
a demon in dreamscape,"(demon:1.25) in dreamscape, Minimalist style, octane render, ethereal atmosphere, vibrant colors"
a queen in stellar nebula,"(queen:1.25) in stellar nebula, Photoreal style, hyper detailed, soft bokeh, intricate textures"
a robot in volcano,"(robot:1.25) in volcano, Vaporwave style, soft bokeh, vibrant colors, hyper detailed"
a explorer in deep forest,"(explorer:1.25) in deep forest, Steampunk style, majestic scale, muted tones, 8k resolution, vibrant colors"
a goddess in dreamscape,"(goddess:1.25) in dreamscape, Vaporwave style, 8k resolution, unreal engine 5, soft bokeh, octane render, hyper detailed"
a warrior in mars base,"(warrior:1.25) in mars base, Cyberpunk style, sharp focus, majestic scale, soft bokeh"
a cyberpunk girl in underwater city,"(cyberpunk girl:1.25) in underwater city, Minimalist style, intricate textures, unreal engine 5, volumetric lighting, sharp focus, dramatic shadows"
a knight in underwater city,"(knight:1.25) in underwater city, Anime style, muted tones, 8k resolution, soft bokeh, sharp focus, intricate textures"
a cyberpunk girl in space station,"(cyberpunk girl:1.25) in space station, Cyberpunk style, ethereal atmosphere, vibrant colors, octane render"
a wizard in space station,"(wizard:1.25) in space station, Minimalist style, soft bokeh, ray traced, volumetric lighting"
a queen in underwater city,"(queen:1.25) in underwater city, Vaporwave style, majestic scale, intricate textures, soft bokeh, hyper detailed, dramatic shadows"
a knight in dreamscape,"(knight:1.25) in dreamscape, Impressionist style, muted tones, sharp focus, intricate textures, masterpiece quality, octane render"
a angel in mars base,"(angel:1.25) in mars base, Dark Fantasy style, majestic scale, unreal engine 5, dramatic shadows"
a scientist in floating island,"(scientist:1.25) in floating island, Dark Fantasy style, ray traced, soft bokeh, masterpiece quality, vibrant colors"
a angel in frozen tundra,"(angel:1.25) in frozen tundra, Dark Fantasy style, dramatic shadows, muted tones, intricate textures, octane render"
a old man in ancient ruins,"(old man:1.25) in ancient ruins, Cyberpunk style, majestic scale, unreal engine 5, masterpiece quality, 8k resolution, volumetric lighting"
a mechanic in dreamscape,"(mechanic:1.25) in dreamscape, Renaissance style, hyper detailed, masterpiece quality, vibrant colors, dramatic shadows, ethereal atmosphere"
a scientist in underwater city,"(scientist:1.25) in underwater city, Impressionist style, sharp focus, octane render, ray traced, hyper detailed, dramatic shadows"
a dragon in floating island,"(dragon:1.25) in floating island, Cinematic style, sharp focus, soft bokeh, muted tones, ethereal atmosphere, majestic scale"
a demon in ancient ruins,"(demon:1.25) in ancient ruins, Steampunk style, ethereal atmosphere, vibrant colors, sharp focus, hyper detailed"
a angel in mars base,"(angel:1.25) in mars base, Minimalist style, majestic scale, hyper detailed, vibrant colors, soft bokeh"
a warrior in volcano,"(warrior:1.25) in volcano, Renaissance style, ethereal atmosphere, volumetric lighting, muted tones, ray traced, unreal engine 5"
a nomad in stellar nebula,"(nomad:1.25) in stellar nebula, Dark Fantasy style, vibrant colors, volumetric lighting, 8k resolution"
a warrior in deep forest,"(warrior:1.25) in deep forest, Anime style, unreal engine 5, soft bokeh, muted tones, ray traced, vibrant colors"
a robot in mars base,"(robot:1.25) in mars base, Cinematic style, muted tones, hyper detailed, soft bokeh, intricate textures"
a monk in cybernetic lab,"(monk:1.25) in cybernetic lab, Steampunk style, 8k resolution, unreal engine 5, intricate textures, muted tones"
a knight in deep forest,"(knight:1.25) in deep forest, Renaissance style, 8k resolution, volumetric lighting, hyper detailed, octane render, soft bokeh"
a cat in cybernetic lab,"(cat:1.25) in cybernetic lab, Minimalist style, soft bokeh, octane render, sharp focus, dramatic shadows"
a queen in neon city,"(queen:1.25) in neon city, Dark Fantasy style, octane render, ray traced, vibrant colors"
a forest spirit in mountain temple,"(forest spirit:1.25) in mountain temple, Photoreal style, vibrant colors, 8k resolution, ray traced, majestic scale, masterpiece quality"
a goddess in deep forest,"(goddess:1.25) in deep forest, Dark Fantasy style, hyper detailed, majestic scale, muted tones, unreal engine 5, volumetric lighting"
a explorer in underwater city,"(explorer:1.25) in underwater city, Minimalist style, masterpiece quality, vibrant colors, unreal engine 5, majestic scale, octane render"
a scientist in floating island,"(scientist:1.25) in floating island, Impressionist style, majestic scale, dramatic shadows, 8k resolution, ray traced, hyper detailed"
a monk in stellar nebula,"(monk:1.25) in stellar nebula, Impressionist style, ray traced, octane render, soft bokeh, hyper detailed"
a queen in ancient ruins,"(queen:1.25) in ancient ruins, Cinematic style, octane render, hyper detailed, majestic scale, intricate textures, sharp focus"
a knight in mountain temple,"(knight:1.25) in mountain temple, Dark Fantasy style, 8k resolution, majestic scale, soft bokeh"
a old man in mars base,"(old man:1.25) in mars base, Anime style, 8k resolution, masterpiece quality, hyper detailed, intricate textures"
a nomad in mars base,"(nomad:1.25) in mars base, Cyberpunk style, masterpiece quality, sharp focus, ethereal atmosphere, octane render"
a monk in frozen tundra,"(monk:1.25) in frozen tundra, Renaissance style, volumetric lighting, ethereal atmosphere, vibrant colors, ray traced"
a mechanic in frozen tundra,"(mechanic:1.25) in frozen tundra, Photoreal style, ethereal atmosphere, hyper detailed, octane render"
a queen in cybernetic lab,"(queen:1.25) in cybernetic lab, Impressionist style, vibrant colors, unreal engine 5, masterpiece quality, soft bokeh"
a forest spirit in dreamscape,"(forest spirit:1.25) in dreamscape, Photoreal style, volumetric lighting, sharp focus, vibrant colors, hyper detailed"
a forest spirit in medieval village,"(forest spirit:1.25) in medieval village, Vaporwave style, ray traced, dramatic shadows, soft bokeh, muted tones, volumetric lighting"
a queen in space station,"(queen:1.25) in space station, Steampunk style, muted tones, octane render, sharp focus"
a warrior in mars base,"(warrior:1.25) in mars base, Dark Fantasy style, ethereal atmosphere, masterpiece quality, dramatic shadows, soft bokeh, intricate textures"
a scientist in floating island,"(scientist:1.25) in floating island, Impressionist style, sharp focus, 8k resolution, volumetric lighting"
a robot in cybernetic lab,"(robot:1.25) in cybernetic lab, Renaissance style, ethereal atmosphere, soft bokeh, unreal engine 5, ray traced, masterpiece quality"
a old man in frozen tundra,"(old man:1.25) in frozen tundra, Dark Fantasy style, muted tones, volumetric lighting, unreal engine 5"
a knight in space station,"(knight:1.25) in space station, Dark Fantasy style, masterpiece quality, dramatic shadows, ray traced, intricate textures, muted tones"
a cyberpunk girl in frozen tundra,"(cyberpunk girl:1.25) in frozen tundra, Photoreal style, soft bokeh, vibrant colors, sharp focus, masterpiece quality"
a forest spirit in cybernetic lab,"(forest spirit:1.25) in cybernetic lab, Minimalist style, vibrant colors, volumetric lighting, 8k resolution"
a nomad in floating island,"(nomad:1.25) in floating island, Photoreal style, vibrant colors, unreal engine 5, intricate textures"
a samurai in neon city,"(samurai:1.25) in neon city, Renaissance style, majestic scale, ray traced, dramatic shadows"
a goddess in mars base,"(goddess:1.25) in mars base, Photoreal style, 8k resolution, unreal engine 5, volumetric lighting, majestic scale, dramatic shadows"
a demon in floating island,"(demon:1.25) in floating island, Cyberpunk style, 8k resolution, sharp focus, hyper detailed, octane render"
a knight in desert oasis,"(knight:1.25) in desert oasis, Photoreal style, 8k resolution, hyper detailed, unreal engine 5, masterpiece quality"
a robot in cybernetic lab,"(robot:1.25) in cybernetic lab, Impressionist style, dramatic shadows, volumetric lighting, unreal engine 5, ray traced, muted tones"
a warrior in cybernetic lab,"(warrior:1.25) in cybernetic lab, Dark Fantasy style, volumetric lighting, hyper detailed, muted tones"
a angel in desert oasis,"(angel:1.25) in desert oasis, Impressionist style, ethereal atmosphere, sharp focus, volumetric lighting, ray traced"
a cyberpunk girl in desert oasis,"(cyberpunk girl:1.25) in desert oasis, Vaporwave style, 8k resolution, ethereal atmosphere, masterpiece quality"
a explorer in volcano,"(explorer:1.25) in volcano, Steampunk style, muted tones, soft bokeh, ray traced, dramatic shadows"
a mechanic in medieval village,"(mechanic:1.25) in medieval village, Vaporwave style, ray traced, masterpiece quality, 8k resolution, volumetric lighting, sharp focus"
a cat in deep forest,"(cat:1.25) in deep forest, Anime style, 8k resolution, ray traced, intricate textures, soft bokeh, majestic scale"
a monk in desert oasis,"(monk:1.25) in desert oasis, Cyberpunk style, unreal engine 5, majestic scale, masterpiece quality, 8k resolution"
a cyberpunk girl in underwater city,"(cyberpunk girl:1.25) in underwater city, Renaissance style, dramatic shadows, soft bokeh, unreal engine 5, intricate textures, volumetric lighting"
a cat in ancient ruins,"(cat:1.25) in ancient ruins, Anime style, ethereal atmosphere, octane render, vibrant colors, intricate textures"
a robot in mountain temple,"(robot:1.25) in mountain temple, Anime style, hyper detailed, octane render, vibrant colors"
a old man in mountain temple,"(old man:1.25) in mountain temple, Impressionist style, dramatic shadows, soft bokeh, ray traced, muted tones"
a angel in mountain temple,"(angel:1.25) in mountain temple, Renaissance style, vibrant colors, majestic scale, 8k resolution, sharp focus, hyper detailed"
a astronaut in stellar nebula,"(astronaut:1.25) in stellar nebula, Steampunk style, ethereal atmosphere, unreal engine 5, dramatic shadows, volumetric lighting, intricate textures"
a scientist in dreamscape,"(scientist:1.25) in dreamscape, Dark Fantasy style, 8k resolution, sharp focus, dramatic shadows, unreal engine 5, hyper detailed"
a forest spirit in dreamscape,"(forest spirit:1.25) in dreamscape, Renaissance style, volumetric lighting, sharp focus, octane render"
a knight in cybernetic lab,"(knight:1.25) in cybernetic lab, Cyberpunk style, intricate textures, octane render, hyper detailed, ray traced, volumetric lighting"
a cat in floating island,"(cat:1.25) in floating island, Renaissance style, dramatic shadows, majestic scale, volumetric lighting, muted tones"
a mechanic in medieval village,"(mechanic:1.25) in medieval village, Impressionist style, hyper detailed, vibrant colors, majestic scale, muted tones"
a astronaut in neon city,"(astronaut:1.25) in neon city, Anime style, majestic scale, unreal engine 5, vibrant colors, dramatic shadows"
a forest spirit in dreamscape,"(forest spirit:1.25) in dreamscape, Cinematic style, volumetric lighting, hyper detailed, vibrant colors, ray traced"
a old man in desert oasis,"(old man:1.25) in desert oasis, Anime style, muted tones, sharp focus, 8k resolution, volumetric lighting, octane render"
a wizard in underwater city,"(wizard:1.25) in underwater city, Impressionist style, volumetric lighting, intricate textures, ray traced, ethereal atmosphere, masterpiece quality"
a monk in space station,"(monk:1.25) in space station, Cyberpunk style, unreal engine 5, hyper detailed, ethereal atmosphere, muted tones"
a mechanic in cybernetic lab,"(mechanic:1.25) in cybernetic lab, Cyberpunk style, vibrant colors, majestic scale, intricate textures, ethereal atmosphere, volumetric lighting"
a angel in space station,"(angel:1.25) in space station, Vaporwave style, ethereal atmosphere, dramatic shadows, vibrant colors"
a goddess in dreamscape,"(goddess:1.25) in dreamscape, Vaporwave style, soft bokeh, octane render, majestic scale, hyper detailed"
a mechanic in mars base,"(mechanic:1.25) in mars base, Cyberpunk style, vibrant colors, unreal engine 5, volumetric lighting, ethereal atmosphere, masterpiece quality"
a goddess in floating island,"(goddess:1.25) in floating island, Cinematic style, sharp focus, ethereal atmosphere, masterpiece quality"
a warrior in ancient ruins,"(warrior:1.25) in ancient ruins, Photoreal style, muted tones, hyper detailed, octane render, 8k resolution"
a explorer in underwater city,"(explorer:1.25) in underwater city, Minimalist style, volumetric lighting, dramatic shadows, hyper detailed, masterpiece quality, sharp focus"
a nomad in mountain temple,"(nomad:1.25) in mountain temple, Steampunk style, masterpiece quality, hyper detailed, dramatic shadows, majestic scale"
a scientist in ancient ruins,"(scientist:1.25) in ancient ruins, Renaissance style, muted tones, volumetric lighting, intricate textures, dramatic shadows, ray traced"
a samurai in mars base,"(samurai:1.25) in mars base, Steampunk style, vibrant colors, majestic scale, volumetric lighting"
a astronaut in frozen tundra,"(astronaut:1.25) in frozen tundra, Renaissance style, ethereal atmosphere, intricate textures, majestic scale, 8k resolution"
a cat in neon city,"(cat:1.25) in neon city, Renaissance style, octane render, unreal engine 5, vibrant colors, sharp focus"
a demon in ancient ruins,"(demon:1.25) in ancient ruins, Renaissance style, soft bokeh, dramatic shadows, majestic scale, octane render, masterpiece quality"
a demon in deep forest,"(demon:1.25) in deep forest, Steampunk style, masterpiece quality, ethereal atmosphere, soft bokeh"
a astronaut in underwater city,"(astronaut:1.25) in underwater city, Cinematic style, octane render, volumetric lighting, ray traced, masterpiece quality"
a explorer in underwater city,"(explorer:1.25) in underwater city, Vaporwave style, hyper detailed, muted tones, 8k resolution, masterpiece quality"
a forest spirit in space station,"(forest spirit:1.25) in space station, Photoreal style, unreal engine 5, ethereal atmosphere, ray traced"
a robot in mars base,"(robot:1.25) in mars base, Minimalist style, intricate textures, vibrant colors, muted tones, dramatic shadows"
a cat in neon city,"(cat:1.25) in neon city, Cinematic style, ray traced, majestic scale, 8k resolution, volumetric lighting, unreal engine 5"
a goddess in space station,"(goddess:1.25) in space station, Anime style, dramatic shadows, masterpiece quality, hyper detailed, majestic scale"
a demon in ancient ruins,"(demon:1.25) in ancient ruins, Cinematic style, hyper detailed, 8k resolution, vibrant colors, muted tones"
a astronaut in mountain temple,"(astronaut:1.25) in mountain temple, Renaissance style, masterpiece quality, sharp focus, unreal engine 5"
a astronaut in deep forest,"(astronaut:1.25) in deep forest, Dark Fantasy style, intricate textures, vibrant colors, dramatic shadows, majestic scale"
a monk in desert oasis,"(monk:1.25) in desert oasis, Vaporwave style, 8k resolution, masterpiece quality, ethereal atmosphere"
a robot in medieval village,"(robot:1.25) in medieval village, Dark Fantasy style, sharp focus, 8k resolution, muted tones, hyper detailed, ray traced"
a nomad in stellar nebula,"(nomad:1.25) in stellar nebula, Minimalist style, muted tones, masterpiece quality, octane render"
a explorer in medieval village,"(explorer:1.25) in medieval village, Renaissance style, hyper detailed, muted tones, octane render"
a demon in dreamscape,"(demon:1.25) in dreamscape, Minimalist style, 8k resolution, masterpiece quality, ethereal atmosphere"
a dragon in mountain temple,"(dragon:1.25) in mountain temple, Vaporwave style, sharp focus, masterpiece quality, unreal engine 5, vibrant colors, dramatic shadows"
a nomad in floating island,"(nomad:1.25) in floating island, Dark Fantasy style, masterpiece quality, volumetric lighting, ethereal atmosphere, unreal engine 5, vibrant colors"
a wizard in ancient ruins,"(wizard:1.25) in ancient ruins, Dark Fantasy style, intricate textures, sharp focus, hyper detailed"
a queen in space station,"(queen:1.25) in space station, Cyberpunk style, volumetric lighting, majestic scale, sharp focus"
a old man in volcano,"(old man:1.25) in volcano, Steampunk style, hyper detailed, 8k resolution, unreal engine 5, vibrant colors"
a nomad in neon city,"(nomad:1.25) in neon city, Cinematic style, ethereal atmosphere, hyper detailed, 8k resolution, dramatic shadows, majestic scale"
a monk in space station,"(monk:1.25) in space station, Dark Fantasy style, hyper detailed, masterpiece quality, 8k resolution, vibrant colors"
a queen in stellar nebula,"(queen:1.25) in stellar nebula, Cinematic style, octane render, majestic scale, ethereal atmosphere, masterpiece quality, soft bokeh"
a nomad in neon city,"(nomad:1.25) in neon city, Anime style, sharp focus, unreal engine 5, dramatic shadows"
a wizard in neon city,"(wizard:1.25) in neon city, Impressionist style, muted tones, volumetric lighting, unreal engine 5"
a warrior in ancient ruins,"(warrior:1.25) in ancient ruins, Steampunk style, octane render, volumetric lighting, vibrant colors, masterpiece quality"
a forest spirit in neon city,"(forest spirit:1.25) in neon city, Steampunk style, 8k resolution, majestic scale, ethereal atmosphere, dramatic shadows"
a queen in cybernetic lab,"(queen:1.25) in cybernetic lab, Impressionist style, vibrant colors, octane render, 8k resolution, masterpiece quality"
a forest spirit in cybernetic lab,"(forest spirit:1.25) in cybernetic lab, Cyberpunk style, octane render, soft bokeh, hyper detailed, unreal engine 5, intricate textures"
a queen in volcano,"(queen:1.25) in volcano, Minimalist style, sharp focus, volumetric lighting, intricate textures, hyper detailed"
a explorer in medieval village,"(explorer:1.25) in medieval village, Minimalist style, muted tones, sharp focus, ethereal atmosphere, hyper detailed"
a warrior in dreamscape,"(warrior:1.25) in dreamscape, Cyberpunk style, sharp focus, ethereal atmosphere, ray traced"
a scientist in volcano,"(scientist:1.25) in volcano, Renaissance style, 8k resolution, masterpiece quality, unreal engine 5, sharp focus, vibrant colors"
a forest spirit in mars base,"(forest spirit:1.25) in mars base, Dark Fantasy style, ethereal atmosphere, sharp focus, hyper detailed"
a warrior in deep forest,"(warrior:1.25) in deep forest, Impressionist style, majestic scale, sharp focus, soft bokeh, intricate textures"
a old man in frozen tundra,"(old man:1.25) in frozen tundra, Steampunk style, hyper detailed, intricate textures, unreal engine 5, octane render, vibrant colors"
a mechanic in mountain temple,"(mechanic:1.25) in mountain temple, Renaissance style, 8k resolution, unreal engine 5, ray traced"
a goddess in mountain temple,"(goddess:1.25) in mountain temple, Dark Fantasy style, sharp focus, unreal engine 5, octane render, majestic scale, vibrant colors"
a warrior in floating island,"(warrior:1.25) in floating island, Impressionist style, ethereal atmosphere, majestic scale, volumetric lighting"
a knight in deep forest,"(knight:1.25) in deep forest, Vaporwave style, ray traced, 8k resolution, ethereal atmosphere, unreal engine 5, sharp focus"
a monk in mountain temple,"(monk:1.25) in mountain temple, Cinematic style, muted tones, octane render, majestic scale, ray traced, dramatic shadows"
a explorer in underwater city,"(explorer:1.25) in underwater city, Photoreal style, 8k resolution, octane render, unreal engine 5"
a mechanic in medieval village,"(mechanic:1.25) in medieval village, Cinematic style, sharp focus, majestic scale, ray traced, vibrant colors, soft bokeh"
a cyberpunk girl in desert oasis,"(cyberpunk girl:1.25) in desert oasis, Cinematic style, soft bokeh, dramatic shadows, volumetric lighting, vibrant colors"
a mechanic in underwater city,"(mechanic:1.25) in underwater city, Cyberpunk style, soft bokeh, majestic scale, hyper detailed, masterpiece quality, ray traced"
a robot in floating island,"(robot:1.25) in floating island, Impressionist style, intricate textures, majestic scale, octane render, masterpiece quality, ray traced"
a dragon in dreamscape,"(dragon:1.25) in dreamscape, Minimalist style, majestic scale, muted tones, masterpiece quality, octane render, soft bokeh"
a nomad in floating island,"(nomad:1.25) in floating island, Vaporwave style, majestic scale, ethereal atmosphere, intricate textures, volumetric lighting"
a cat in cybernetic lab,"(cat:1.25) in cybernetic lab, Anime style, muted tones, ray traced, 8k resolution"
a goddess in neon city,"(goddess:1.25) in neon city, Dark Fantasy style, dramatic shadows, muted tones, sharp focus, hyper detailed, ethereal atmosphere"
a cat in desert oasis,"(cat:1.25) in desert oasis, Cinematic style, 8k resolution, majestic scale, volumetric lighting"
a angel in underwater city,"(angel:1.25) in underwater city, Renaissance style, dramatic shadows, intricate textures, hyper detailed"
a demon in frozen tundra,"(demon:1.25) in frozen tundra, Photoreal style, sharp focus, dramatic shadows, ethereal atmosphere, soft bokeh"
a monk in medieval village,"(monk:1.25) in medieval village, Dark Fantasy style, volumetric lighting, dramatic shadows, intricate textures"
a angel in deep forest,"(angel:1.25) in deep forest, Impressionist style, majestic scale, octane render, vibrant colors, intricate textures"
a knight in volcano,"(knight:1.25) in volcano, Impressionist style, sharp focus, ray traced, soft bokeh, dramatic shadows, intricate textures"
a demon in floating island,"(demon:1.25) in floating island, Steampunk style, majestic scale, unreal engine 5, muted tones"
a mechanic in desert oasis,"(mechanic:1.25) in desert oasis, Photoreal style, vibrant colors, octane render, ethereal atmosphere"
a nomad in dreamscape,"(nomad:1.25) in dreamscape, Vaporwave style, octane render, volumetric lighting, soft bokeh, hyper detailed"
a explorer in desert oasis,"(explorer:1.25) in desert oasis, Cyberpunk style, sharp focus, 8k resolution, ethereal atmosphere"
a cat in mars base,"(cat:1.25) in mars base, Renaissance style, sharp focus, intricate textures, unreal engine 5, 8k resolution"
a knight in mars base,"(knight:1.25) in mars base, Impressionist style, intricate textures, soft bokeh, volumetric lighting, masterpiece quality, dramatic shadows"
a wizard in ancient ruins,"(wizard:1.25) in ancient ruins, Steampunk style, unreal engine 5, masterpiece quality, vibrant colors"
a forest spirit in volcano,"(forest spirit:1.25) in volcano, Photoreal style, dramatic shadows, octane render, majestic scale, ethereal atmosphere"
a cyberpunk girl in mars base,"(cyberpunk girl:1.25) in mars base, Cyberpunk style, 8k resolution, hyper detailed, ray traced"
a robot in dreamscape,"(robot:1.25) in dreamscape, Minimalist style, hyper detailed, intricate textures, dramatic shadows, volumetric lighting, sharp focus"
a dragon in space station,"(dragon:1.25) in space station, Photoreal style, unreal engine 5, ethereal atmosphere, soft bokeh"
a cyberpunk girl in underwater city,"(cyberpunk girl:1.25) in underwater city, Cyberpunk style, unreal engine 5, volumetric lighting, ethereal atmosphere, hyper detailed, soft bokeh"
a knight in neon city,"(knight:1.25) in neon city, Anime style, majestic scale, soft bokeh, masterpiece quality"
a nomad in medieval village,"(nomad:1.25) in medieval village, Cinematic style, soft bokeh, dramatic shadows, ray traced, hyper detailed"
a knight in space station,"(knight:1.25) in space station, Impressionist style, masterpiece quality, 8k resolution, unreal engine 5, intricate textures"
a dragon in neon city,"(dragon:1.25) in neon city, Renaissance style, ethereal atmosphere, majestic scale, unreal engine 5, dramatic shadows"
a nomad in mountain temple,"(nomad:1.25) in mountain temple, Cyberpunk style, octane render, sharp focus, unreal engine 5, hyper detailed"
a angel in desert oasis,"(angel:1.25) in desert oasis, Impressionist style, unreal engine 5, vibrant colors, masterpiece quality, octane render"
a mechanic in ancient ruins,"(mechanic:1.25) in ancient ruins, Photoreal style, ray traced, hyper detailed, sharp focus"
a angel in dreamscape,"(angel:1.25) in dreamscape, Photoreal style, volumetric lighting, masterpiece quality, ethereal atmosphere, unreal engine 5, hyper detailed"
a dragon in deep forest,"(dragon:1.25) in deep forest, Dark Fantasy style, ethereal atmosphere, muted tones, octane render, masterpiece quality"
a monk in mountain temple,"(monk:1.25) in mountain temple, Cyberpunk style, majestic scale, soft bokeh, muted tones, ray traced, masterpiece quality"
a nomad in medieval village,"(nomad:1.25) in medieval village, Dark Fantasy style, hyper detailed, dramatic shadows, ethereal atmosphere, sharp focus, majestic scale"
a wizard in mars base,"(wizard:1.25) in mars base, Cyberpunk style, sharp focus, unreal engine 5, ray traced, intricate textures, masterpiece quality"
a cyberpunk girl in dreamscape,"(cyberpunk girl:1.25) in dreamscape, Vaporwave style, dramatic shadows, ray traced, hyper detailed, intricate textures, octane render"
a explorer in stellar nebula,"(explorer:1.25) in stellar nebula, Cinematic style, intricate textures, vibrant colors, unreal engine 5, sharp focus"
a queen in deep forest,"(queen:1.25) in deep forest, Anime style, dramatic shadows, unreal engine 5, muted tones, sharp focus, ethereal atmosphere"
a cat in stellar nebula,"(cat:1.25) in stellar nebula, Photoreal style, muted tones, volumetric lighting, sharp focus, 8k resolution, ray traced"
a cat in dreamscape,"(cat:1.25) in dreamscape, Cyberpunk style, dramatic shadows, masterpiece quality, muted tones, ethereal atmosphere, sharp focus"
a queen in underwater city,"(queen:1.25) in underwater city, Photoreal style, 8k resolution, ethereal atmosphere, masterpiece quality"
a monk in neon city,"(monk:1.25) in neon city, Cinematic style, octane render, ray traced, ethereal atmosphere, masterpiece quality"
a samurai in mountain temple,"(samurai:1.25) in mountain temple, Cyberpunk style, majestic scale, volumetric lighting, masterpiece quality, hyper detailed"
